Geneids	Series15_HealthyLungBiopsy_2	Series15_COVID19Lung_2	Series15_COVID19Lung_1
BRDT	4	0	0
EPHX4	20	0	0
BTBD8	0	0	0
KIAA1107	20	0	0
C1orf146	4	0	0
GLMN	99	0	0
RPAP2	147	30	2
GFI1	36	0	0
EVI5	344	0	0
RPL5	20411	385	22
FAM69A	88	4	1
SNORD21	27	0	0
SNORA66	6	0	0
MTF2	324	23	0
TMED5	810	181	4
CCDC18	59	0	0
DR1	759	52	0
FNBP1L	961	16	0
BCAR3	280	11	0
LOC100129046	0	0	0
MIR760	0	0	0
DNTTIP2	1889	74	0
GCLM	307	9	3
ABCA4	13	0	0
ARHGAP29	1381	4	0
ABCD3	341	11	0
F3	481	131	10
SLC44A3	94	6	0
CNN3	7398	190	5
LOC729970	162	0	0
ALG14	131	0	0
TMEM56	35	0	0
TMEM56-RWDD3	0	0	0
RWDD3	103	4	0
PTBP2	367	0	0
DPYD	415	26	0
DPYD-AS1	0	0	0
MIR137HG	1	0	0
MIR2682	0	0	0
MIR137	0	0	0
SNX7	300	14	1
LOC100129620	0	0	0
PALMD	834	0	0
MIR548AA1	0	0	0
MIR548D1	0	0	0
FRRS1	36	0	0
AGL	206	9	0
SLC35A3	327	0	0
SASS6	27	0	0
TRMT13	150	14	0
LRRC39	20	0	0
DBT	169	4	0
RTCA	610	14	0
MIR553	0	0	0
CDC14A	184	0	0
GPR88	6	0	0
VCAM1	1442	163	5
EXTL2	232	13	0
SLC30A7	661	73	0
DPH5	215	0	0
S1PR1	6773	276	17
OLFM3	0	0	0
DNAJA1P5	0	0	0
COL11A1	44	0	1
RNPC3	108	0	0
AMY2B	411	5	0
ACTG1P4	8	0	0
AMY2A	0	0	0
AMY1A	0	0	0
AMY1C	0	0	0
AMY1B	0	0	0
LOC100129138	0	0	0
PRMT6	153	0	1
NTNG1	31	0	0
VAV3	151	17	0
VAV3-AS1	2	0	0
SLC25A24	285	6	0
NBPF4	0	0	0
NBPF6	0	0	0
FAM102B	330	10	0
HENMT1	107	0	0
PRPF38B	1081	21	0
FNDC7	3	0	0
STXBP3	436	25	0
AKNAD1	11	0	0
GPSM2	119	3	0
CLCC1	320	0	3
WDR47	272	10	0
TAF13	10	0	0
TMEM167B	1162	103	1
SCARNA2	9	6	1
C1orf194	25	14	1
KIAA1324	57	7	0
SARS	3345	41	1
CELSR2	36	0	0
PSRC1	289	0	0
MYBPHL	9	0	0
SORT1	2537	23	2
PSMA5	1193	67	0
SYPL2	62	0	0
ATXN7L2	100	0	0
CYB561D1	153	0	0
AMIGO1	22	0	0
GPR61	3	0	0
